Feature IO-145, Starts at 1510916458.4615343, Ends at 1510917350.7833283, Elapsed time 892.3217940330505
Feature IO-129, Starts at 1510917366.3199947, Ends at 1510917913.0633645, Elapsed time 546.7433698177338
Feature IO-135, Starts at 1510917929.4965127, Ends at 1510919044.9757676, Elapsed time 1115.4792549610138
Feature IO-130, Starts at 1510919060.3753219, Ends at 1510919704.0902543, Elapsed time 643.7149324417114
Feature IO-153, Starts at 1510919720.4523053, Ends at 1510921624.712621, Elapsed time 1904.260315656662
Feature IO-148, Starts at 1510921640.2765632, Ends at 1510922553.9399357, Elapsed time 913.6633725166321
Feature IO-291, Starts at 1510922558.2512856, Ends at 1510922817.8375092, Elapsed time 259.5862236022949
Feature IO-305, Starts at 1510922822.4931853, Ends at 1510923570.5969546, Elapsed time 748.1037693023682
Feature IO-138, Starts at 1510923586.3359382, Ends at 1510924580.7529943, Elapsed time 994.4170560836792
Feature IO-126, Starts at 1510924596.290413, Ends at 1510925140.9666846, Elapsed time 544.6762716770172
Feature IO-275, Starts at 1510925145.142246, Ends at 1510925193.7700114, Elapsed time 48.627765417099
Feature IO-173, Starts at 1510925198.0738049, Ends at 1510925478.6847973, Elapsed time 280.6109924316406
Feature IO-290, Starts at 1510925483.0030203, Ends at 1510925586.6298697, Elapsed time 103.62684941291809
Feature CALCITE-1309, Starts at 1510925635.2622232, Ends at 1510928969.710088, Elapsed time 3334.4478647708893
Feature CALCITE-627, Starts at 1510928995.7251215, Ends at 1510929853.0921357, Elapsed time 857.367014169693
Feature CALCITE-1003, Starts at 1510929919.8461387, Ends at 1510933875.9416757, Elapsed time 3956.0955369472504
Feature CALCITE-991, Starts at 1510933919.6133986, Ends at 1510934218.2962475, Elapsed time 298.6828489303589
Feature CALCITE-1288, Starts at 1510934256.6687858, Ends at 1510937040.951921, Elapsed time 2784.283135175705
Feature CALCITE-758, Starts at 1510937059.8323302, Ends at 1510938487.1888924, Elapsed time 1427.3565621376038
Feature CALCITE-996, Starts at 1510938538.1141686, Ends at 1510939343.1434155, Elapsed time 805.0292468070984
Feature CALCITE-674, Starts at 1510939362.1828754, Ends at 1510940025.952026, Elapsed time 663.7691504955292
Feature CALCITE-767, Starts at 1510940077.5834606, Ends at 1510940873.767345, Elapsed time 796.1838843822479
Feature CALCITE-718, Starts at 1510940892.9915981, Ends at 1510942345.8291993, Elapsed time 1452.837601184845
Feature CALCITE-1168, Starts at 1510942399.0450008, Ends at 1510943570.9489708, Elapsed time 1171.903970003128
Feature CALCITE-803, Starts at 1510943590.6335812, Ends at 1510945034.271389, Elapsed time 1443.6378078460693
Feature CALCITE-811, Starts at 1510945071.6208653, Ends at 1510945307.6971917, Elapsed time 236.07632637023926
Feature CALCITE-1028, Starts at 1510945338.5319188, Ends at 1510947333.7789922, Elapsed time 1995.2470734119415
Feature CALCITE-925, Starts at 1510947394.0528338, Ends at 1510948082.9047804, Elapsed time 688.8519465923309
Feature CALCITE-1200, Starts at 1510948143.2997227, Ends at 1510951155.6233206, Elapsed time 3012.32359790802
Feature CALCITE-1337, Starts at 1510951219.6922235, Ends at 1510952325.457295, Elapsed time 1105.7650713920593
Feature CALCITE-655, Starts at 1510952345.700391, Ends at 1510952664.705369, Elapsed time 319.00497794151306
